Symbol,Company Name,Market Cap
CPB,The Campbell's Company,12.82B
SWK,"Stanley Black & Decker, Inc.",12.76B
TAP,Molson Coors Beverage Company,12.58B
DVA,DaVita Inc.,12.52B
UHS,"Universal Health Services, Inc.",12.36B
JNPR,"Juniper Networks, Inc.",12.33B
DAY,Dayforce Inc.,12.17B
SJM,The J. M. Smucker Company,12.08B
ALLE,Allegion plc,12.07B
TECH,Bio-Techne Corporation,12.03B
SOLV,Solventum Corporation,12.02B
NCLH,Norwegian Cruise Line Holdings Ltd.,11.78B
ALB,Albemarle Corporation,11.68B
BG,Bunge Global SA,11.54B
BEN,"Franklin Resources, Inc.",11.50B
CTLT,"Catalent, Inc.",11.45B
EMN,Eastman Chemical Company,11.41B
LW,"Lamb Weston Holdings, Inc.",11.30B
AIZ,"Assurant, Inc.",11.17B
IPG,"The Interpublic Group of Companies, Inc.",11.13B
MGM,MGM Resorts International,10.79B
AOS,A. O. Smith Corporation,10.51B
WYNN,"Wynn Resorts, Limited",10.29B
ENPH,"Enphase Energy, Inc.",9.98B
PNW,Pinnacle West Capital Corporation,9.95B
GNRC,Generac Holdings Inc.,9.95B
LKQ,LKQ Corporation,9.87B
FRT,Federal Realty Investment Trust,9.78B
CRL,"Charles River Laboratories International, Inc.",9.74B
HSIC,"Henry Schein, Inc.",9.55B
AES,The AES Corporation,9.49B
WBA,"Walgreens Boots Alliance, Inc.",8.98B
GL,Globe Life Inc.,8.85B
MKTX,MarketAxess Holdings Inc.,8.81B
HAS,"Hasbro, Inc.",8.62B
MOS,The Mosaic Company,8.51B
APA,APA Corporation,8.46B
TFX,Teleflex Incorporated,8.37B
IVZ,Invesco Ltd.,8.11B
MHK,"Mohawk Industries, Inc.",8.07B
MTCH,"Match Group, Inc.",7.90B
CZR,"Caesars Entertainment, Inc.",7.86B
HII,"Huntington Ingalls Industries, Inc.",7.52B
CE,Celanese Corporation,7.50B
PARA,Paramount Global,7.48B
BWA,BorgWarner Inc.,7.45B
FMC,FMC Corporation,6.68B
QRVO,"Qorvo, Inc.",6.58B
AMTM,"Amentum Holdings, Inc.",5.61B
