Symbol,Company Name,Market Cap
COO,"The Cooper Companies, Inc.",19.08B
VRSN,"VeriSign, Inc.",18.91B
MAA,"Mid-America Apartment Communities, Inc.",18.89B
BLDR,"Builders FirstSource, Inc.",18.80B
PODD,Insulet Corporation,18.79B
CTRA,Coterra Energy Inc.,18.74B
BBY,"Best Buy Co., Inc.",18.69B
STLD,"Steel Dynamics, Inc.",18.68B
SNA,Snap-on Incorporated,18.58B
L,Loews Corporation,18.46B
FDS,FactSet Research Systems Inc.,18.44B
GEN,Gen Digital Inc.,18.43B
JBHT,"J.B. Hunt Transport Services, Inc.",18.12B
HRL,Hormel Foods Corporation,18.10B
PFG,"Principal Financial Group, Inc.",18.07B
KEY,KeyCorp,17.99B
TRMB,Trimble Inc.,17.93B
ARE,"Alexandria Real Estate Equities, Inc.",17.86B
PNR,Pentair plc,17.67B
OMC,Omnicom Group Inc.,17.62B
ALGN,"Align Technology, Inc.",17.57B
DGX,Quest Diagnostics Incorporated,17.48B
MOH,"Molina Healthcare, Inc.",17.38B
BALL,Ball Corporation,17.25B
NI,NiSource Inc.,17.13B
NWS,News Corporation,17.01B
MAS,Masco Corporation,16.97B
IEX,IDEX Corporation,16.91B
J,Jacobs Solutions Inc.,16.90B
GPC,Genuine Parts Company,16.83B
HOLX,"Hologic, Inc.",16.81B
DG,Dollar General Corporation,16.74B
EXPD,"Expeditors International of Washington, Inc.",16.65B
UDR,"UDR, Inc.",16.61B
KIM,Kimco Realty Corporation,16.51B
NWSA,News Corporation,16.29B
MRNA,"Moderna, Inc.",16.09B
AVY,Avery Dennison Corporation,15.78B
DPZ,"Domino's Pizza, Inc.",15.67B
EG,"Everest Group, Ltd.",15.66B
LNT,Alliant Energy Corporation,15.59B
CF,"CF Industries Holdings, Inc.",15.57B
BAX,Baxter International Inc.,15.57B
FFIV,"F5, Inc.",15.30B
JBL,Jabil Inc.,15.10B
VTRS,Viatris Inc.,15.06B
TXT,Textron Inc.,15.02B
AKAM,"Akamai Technologies, Inc.",15.00B
DLTR,"Dollar Tree, Inc.",14.95B
DOC,"Healthpeak Properties, Inc.",14.85B
TPR,"Tapestry, Inc.",14.61B
SWKS,"Skyworks Solutions, Inc.",14.39B
EVRG,"Evergy, Inc.",14.36B
AMCR,Amcor plc,14.31B
BXP,"BXP, Inc.",14.07B
RL,Ralph Lauren Corporation,14.01B
EPAM,"EPAM Systems, Inc.",13.91B
RVTY,"Revvity, Inc.",13.89B
POOL,Pool Corporation,13.84B
REG,Regency Centers Corporation,13.76B
APTV,Aptiv PLC,13.63B
CAG,"Conagra Brands, Inc.",13.44B
KMX,"CarMax, Inc.",13.30B
INCY,Incyte Corporation,13.28B
CHRW,"C.H. Robinson Worldwide, Inc.",13.24B
JKHY,"Jack Henry & Associates, Inc.",13.19B
PAYC,"Paycom Software, Inc.",13.15B
CPT,Camden Property Trust,13.00B
HST,"Host Hotels & Resorts, Inc.",13.00B
NDSN,Nordson Corporation,12.90B
CPB,The Campbell's Company,12.86B
SWK,"Stanley Black & Decker, Inc.",12.67B
TAP,Molson Coors Beverage Company,12.63B
DVA,DaVita Inc.,12.57B
UHS,"Universal Health Services, Inc.",12.38B
JNPR,"Juniper Networks, Inc.",12.32B
DAY,Dayforce Inc.,12.18B
SJM,The J. M. Smucker Company,12.13B
ALLE,Allegion plc,12.09B
SOLV,Solventum Corporation,11.95B
TECH,Bio-Techne Corporation,11.92B
NCLH,Norwegian Cruise Line Holdings Ltd.,11.73B
ALB,Albemarle Corporation,11.67B
BG,Bunge Global SA,11.50B
BEN,"Franklin Resources, Inc.",11.50B
CTLT,"Catalent, Inc.",11.45B
EMN,Eastman Chemical Company,11.38B
AIZ,"Assurant, Inc.",11.19B
IPG,"The Interpublic Group of Companies, Inc.",11.10B
MGM,MGM Resorts International,10.85B
AOS,A. O. Smith Corporation,10.55B
LW,"Lamb Weston Holdings, Inc.",10.38B
WYNN,"Wynn Resorts, Limited",10.25B
PNW,Pinnacle West Capital Corporation,10.05B
GNRC,Generac Holdings Inc.,9.95B
ENPH,"Enphase Energy, Inc.",9.94B
LKQ,LKQ Corporation,9.88B
FRT,Federal Realty Investment Trust,9.77B
CRL,"Charles River Laboratories International, Inc.",9.74B
HSIC,"Henry Schein, Inc.",9.52B
AES,The AES Corporation,9.50B
WBA,"Walgreens Boots Alliance, Inc.",8.91B
GL,Globe Life Inc.,8.80B
MKTX,MarketAxess Holdings Inc.,8.80B
HAS,"Hasbro, Inc.",8.66B
MOS,The Mosaic Company,8.60B
APA,APA Corporation,8.50B
TFX,Teleflex Incorporated,8.42B
IVZ,Invesco Ltd.,8.16B
MHK,"Mohawk Industries, Inc.",8.06B
CZR,"Caesars Entertainment, Inc.",7.90B
MTCH,"Match Group, Inc.",7.78B
PARA,Paramount Global,7.54B
HII,"Huntington Ingalls Industries, Inc.",7.51B
BWA,BorgWarner Inc.,7.44B
CE,Celanese Corporation,7.38B
FMC,FMC Corporation,6.66B
QRVO,"Qorvo, Inc.",6.46B
AMTM,"Amentum Holdings, Inc.",5.61B
